City,Lon,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hermanus,19.2345,-34.4187,55.8,76,95,24.63,ZA,2021-06-26
tuktoyaktuk,-133.0374,69.4541,44.6,87,90,18.41,CA,2021-06-26
saldanha,17.9442,-33.0117,59.16,78,100,14.32,ZA,2021-06-26
luwuk,122.7875,-0.9516,83.88,69,86,3.49,ID,2021-06-26
piacabucu,-36.4344,-10.4056,75.06,67,100,8.88,BR,2021-06-26
hilo,-155.09,19.7297,89.28,72,75,13.8,US,2021-06-26
half moon bay,-122.4286,37.4636,84.11,76,90,1.01,US,2021-06-26
fortuna,-124.1573,40.5982,62.85,88,90,10.36,US,2021-06-26
ushuaia,-68.3,-54.8,38.86,65,75,23.02,AR,2021-06-26
olafsvik,-23.7142,64.8945,47.77,87,28,24.43,IS,2021-06-26
carutapera,-46.02,-1.195,74.01,94,22,6.24,BR,2021-06-26
albany,-73.9662,42.6001,74.05,62,100,1.01,US,2021-06-26
arraial do cabo,-42.0278,-22.9661,70.97,84,6,20.0,BR,2021-06-26
mar del plata,-57.5575,-38.0023,54.12,69,0,5.99,AR,2021-06-26
busselton,115.3333,-33.65,51.04,71,0,11.59,AU,2021-06-26
riyadh,46.7219,24.6877,82.54,11,5,1.77,SA,2021-06-26
kruisfontein,24.7314,-34.0033,53.89,62,2,7.83,ZA,2021-06-26
kangaatsiaq,-53.4641,68.3065,40.64,85,100,8.72,GL,2021-06-26
hambantota,81.1185,6.1241,79.72,79,44,17.94,LK,2021-06-26
iqaluit,-68.5145,63.7506,40.69,75,100,15.99,CA,2021-06-26
jamestown,-79.2353,42.097,77.02,59,1,7.0,US,2021-06-26
saint-augustin,-58.6502,51.226,53.98,75,67,15.95,CA,2021-06-26
barrow,-156.7887,71.2906,35.62,75,90,18.41,US,2021-06-26
gat,34.7642,31.61,78.4,74,0,2.8,IL,2021-06-26
castro,-50.0119,-24.7911,59.86,88,64,2.57,BR,2021-06-26
mataura,168.8643,-46.1927,52.48,92,53,0.27,NZ,2021-06-26
avarua,-159.775,-21.2078,75.52,82,96,17.87,CK,2021-06-26
bluff,168.3333,-46.6,52.81,88,100,6.78,NZ,2021-06-26
hobart,147.3294,-42.8794,50.05,71,20,1.99,AU,2021-06-26
rikitea,-134.9692,-23.1203,74.61,70,97,3.02,PF,2021-06-26
salalah,54.0924,17.0151,80.69,83,75,2.3,OM,2021-06-26
butaritari,172.7902,3.0707,82.51,74,100,12.8,KI,2021-06-26
moree,149.85,-29.4667,55.42,76,5,4.61,AU,2021-06-26
mocuba,36.9856,-16.8392,61.56,91,0,3.49,MZ,2021-06-26
mount isa,139.5,-20.7333,58.77,51,0,17.27,AU,2021-06-26
bredasdorp,20.0403,-34.5322,55.27,72,4,23.11,ZA,2021-06-26
oranjemund,16.4333,-28.55,57.69,77,18,4.21,NA,2021-06-26
haslev,11.9639,55.3235,61.5,87,100,4.97,DK,2021-06-26
pandan,124.1694,14.0453,86.99,65,73,2.33,PH,2021-06-26
kudahuvadhoo,72.8944,2.6708,82.63,73,83,11.79,MV,2021-06-26
